timestamp;match;market;designation;points;old_odd;new_odd;movement_pct
2026-06-14T15:16:31.199925+00:00;Cleveland Guardians vs Detroit Tigers;moneyline;home;;-110;-103;3.24
2026-06-14T15:16:31.200522+00:00;Cleveland Guardians vs Detroit Tigers;moneyline;away;;101;-105;2.87
2026-06-14T15:16:31.201048+00:00;Cleveland Guardians vs Detroit Tigers;spread;home;-1.5;194;204;3.4
2026-06-14T15:16:31.201548+00:00;Cleveland Guardians vs Detroit Tigers;spread;away;1.5;-220;-232;1.62
2026-06-14T15:16:31.202044+00:00;Cleveland Guardians vs Detroit Tigers;total;over;7.0;-117;-112;2.06
2026-06-14T15:16:31.202600+00:00;Cleveland Guardians vs Detroit Tigers;total;under;7.0;104;100;1.96
2026-06-14T15:16:31.233938+00:00;Pittsburgh Pirates vs Miami Marlins;moneyline;home;;-152;-149;0.8
2026-06-14T15:16:31.234524+00:00;Pittsburgh Pirates vs Miami Marlins;moneyline;away;;139;137;0.84
2026-06-14T15:16:31.235062+00:00;Pittsburgh Pirates vs Miami Marlins;total;over;7.0;-107;-119;4.87
2026-06-14T15:16:31.235611+00:00;Pittsburgh Pirates vs Miami Marlins;total;under;7.0;-105;106;5.51
2026-06-14T15:16:31.266236+00:00;Cincinnati Reds vs Arizona Diamondbacks;moneyline;home;;-103;-104;0.47
2026-06-14T15:16:31.266839+00:00;Cincinnati Reds vs Arizona Diamondbacks;moneyline;away;;-105;-104;0.47
2026-06-14T15:16:31.267335+00:00;Cincinnati Reds vs Arizona Diamondbacks;spread;home;1.5;-162;-163;0.23
2026-06-14T15:16:31.267873+00:00;Cincinnati Reds vs Arizona Diamondbacks;spread;away;-1.5;145;146;0.41
2026-06-14T15:16:31.300587+00:00;Athletics vs Colorado Rockies;moneyline;home;;-174;-187;2.54
2026-06-14T15:16:31.301156+00:00;Athletics vs Colorado Rockies;moneyline;away;;159;171;4.63
2026-06-14T15:16:31.301722+00:00;Athletics vs Colorado Rockies;spread;home;-1.5;104;-106;4.74
2026-06-14T15:16:31.302231+00:00;Athletics vs Colorado Rockies;spread;away;1.5;-115;-104;4.92
2026-06-14T15:16:31.302774+00:00;Athletics vs Colorado Rockies;total;over;14.0;-104;-106;0.92
2026-06-14T15:16:31.303312+00:00;Athletics vs Colorado Rockies;total;under;14.0;-108;-106;0.91
2026-06-14T15:16:31.340383+00:00;Baltimore Orioles vs San Diego Padres;moneyline;home;;-130;-134;1.3
2026-06-14T15:16:31.340981+00:00;Baltimore Orioles vs San Diego Padres;moneyline;away;;120;124;1.82
2026-06-14T15:16:31.341513+00:00;Baltimore Orioles vs San Diego Padres;spread;home;-1.5;151;147;1.59
2026-06-14T15:16:31.342019+00:00;Baltimore Orioles vs San Diego Padres;spread;away;1.5;-169;-164;1.13
2026-06-14T15:16:31.342518+00:00;Baltimore Orioles vs San Diego Padres;total;over;10.0;-102;-114;5.21
2026-06-14T15:16:31.343050+00:00;Baltimore Orioles vs San Diego Padres;total;under;10.0;-111;102;6.27
2026-06-14T15:16:31.380166+00:00;Minnesota Twins vs St. Louis Cardinals;moneyline;away;;-101;-102;0.49
2026-06-14T15:16:31.380736+00:00;Minnesota Twins vs St. Louis Cardinals;spread;home;-1.5;186;185;0.35
2026-06-14T15:16:31.381218+00:00;Minnesota Twins vs St. Louis Cardinals;spread;away;1.5;-210;-209;0.15
2026-06-14T15:16:31.415757+00:00;Chicago White Sox vs Los Angeles Dodgers;moneyline;home;;163;171;3.04
2026-06-14T15:16:31.416312+00:00;Chicago White Sox vs Los Angeles Dodgers;moneyline;away;;-178;-188;1.91
2026-06-14T15:16:31.416837+00:00;Chicago White Sox vs Los Angeles Dodgers;spread;home;1.5;103;106;1.48
2026-06-14T15:16:31.417342+00:00;Chicago White Sox vs Los Angeles Dodgers;spread;away;-1.5;-114;-117;1.2
2026-06-14T15:16:31.417863+00:00;Chicago White Sox vs Los Angeles Dodgers;total;over;9.5;-114;-102;5.5
2026-06-14T15:16:31.418419+00:00;Chicago White Sox vs Los Angeles Dodgers;total;under;9.5;102;-111;5.9
